"","Lake_ID","eco_bio","sample_type","target_taxon","biomass_ugL","density_NopL","ffg","survey","classic_group"
"1","2010177","WMTNS","ZOCN","Calanoida",7.540073413,6.386574951,"HERB","NLA 2017","copepoda"
"2","2010177","WMTNS","ZOCN","Cyclopoida",98.53058187,54.11781932,"UNK","NLA 2017","copepoda"
"3","2010177","WMTNS","ZOCN","Daphnia",51.76811772,9.411794664,"HERB","NLA 2017","cladocera"
"4","2010177","WMTNS","ZOCN","Daphnia pulicaria",1522.945641,66.5548337,"HERB","NLA 2017","cladocera"
"5","2010177","WMTNS","ZOCN","Diacyclops thomasi",2.34709453,1.008406571,"OMNI","NLA 2017","copepoda"
"6","2010177","WMTNS","ZOCN","Skistodiaptomus pallidus",30.1299191,5.37816838,"HERB","NLA 2017","copepoda"
"7","2010177","WMTNS","ZOFN","Calanoida",10.89040362,7.563042896,"HERB","NLA 2017","copepoda"
"8","2010177","WMTNS","ZOFN","Copepoda",17.56303057,378.1521448,"UNK","NLA 2017","copepoda"
"9","2010177","WMTNS","ZOFN","Cyclopoida",28.62561946,63.02535746,"UNK","NLA 2017","copepoda"
"10","2010177","WMTNS","ZOFN","Keratella quadrata",5.422557672,72.26907656,"HERB","NLA 2017","rotifera"
"11","2010177","WMTNS","ZOFN","Polyarthra vulgaris",0.023622181,0.8403381,"OMNI","NLA 2017","rotifera"
"12","2010178","WMTNS","ZOCN","Acanthocyclops robustus",9.040663742,1.428675189,"OMNI","NLA 2017","copepoda"
"13","2010178","WMTNS","ZOCN","Calanoida",0.099408505,0.119056266,"HERB","NLA 2017","copepoda"
"14","2010178","WMTNS","ZOCN","Chydorus sphaericus",27.99295448,21.43012784,"HERB","NLA 2017","cladocera"
"15","2010178","WMTNS","ZOCN","Cyclopoida",31.15091919,22.2635217,"UNK","NLA 2017","copepoda"
"16","2010178","WMTNS","ZOCN","Daphnia",4.183574318,0.476225063,"HERB","NLA 2017","cladocera"
"17","2010178","WMTNS","ZOCN","Eucyclops",0.315971401,0.119056266,"OMNI","NLA 2017","copepoda"
"18","2010178","WMTNS","ZOCN","Macrocyclops albidus",23.08749107,1.428675189,"OMNI","NLA 2017","copepoda"
"19","2010178","WMTNS","ZOCN","Mesocyclops edax",2.108554329,0.119056266,"OMNI","NLA 2017","copepoda"
"20","2010178","WMTNS","ZOCN","Picripleuroxus",1.219955864,0.595281329,"HERB","NLA 2017","cladocera"
"21","2010178","WMTNS","ZOCN","Alona intermedia",0.074351412,0.119056266,"HERB","NLA 2017","cladocera"
"22","2010178","WMTNS","ZOCN","Disparalona dadayi",0.108478533,0.119056266,"HERB","NLA 2017","cladocera"
"23","2010178","WMTNS","ZOFN","Bdelloidea",0.361736046,17.10270415,"HERB","NLA 2017","rotifera"
"24","2010178","WMTNS","ZOFN","Chydorus sphaericus",4.378294707,24.43243451,"HERB","NLA 2017","cladocera"
"25","2010178","WMTNS","ZOFN","Copepoda",24.65887174,574.1622109,"UNK","NLA 2017","copepoda"
"26","2010178","WMTNS","ZOFN","Cyclopoida",30.65227608,41.53513866,"UNK","NLA 2017","copepoda"
"27","2010178","WMTNS","ZOFN","Keratella cochlearis",0.056940942,9.772973803,"HERB","NLA 2017","rotifera"
"28","2010178","WMTNS","ZOFN","Lepadella",0.192108812,24.43243451,"HERB","NLA 2017","rotifera"
"29","2010178","WMTNS","ZOFN","Monostyla bulla",1.436688279,80.62703387,"HERB","NLA 2017","rotifera"
"30","2010178","WMTNS","ZOFN","Monostyla closterocerca",0.077903159,24.43243451,"HERB","NLA 2017","rotifera"
"31","2010178","WMTNS","ZOFN","Notholca",4.190367995,41.53513866,"HERB","NLA 2017","rotifera"
"32","2010178","WMTNS","ZOFN","Platyias patulus",2.039277359,65.96757317,"UNK","NLA 2017","rotifera"
"33","2010178","WMTNS","ZOFN","Polyarthra",0.200271982,9.772973803,"OMNI","NLA 2017","rotifera"
"34","2010178","WMTNS","ZOFN","Synchaeta",2.972209176,80.62703387,"PRED","NLA 2017","rotifera"
"35","2010178","WMTNS","ZOFN","Trichocerca",0.241195625,9.772973803,"PRED","NLA 2017","rotifera"
"36","2010178","WMTNS","ZOFN","Trichocerca cylindrica",1.104193581,9.772973803,"PRED","NLA 2017","rotifera"
"37","2010179","PLAINS","ZOCN","Acanthocyclops robustus",7.389540337,3.802745319,"OMNI","NLA 2017","copepoda"
"38","2010179","PLAINS","ZOCN","Bosmina longirostris",0.436273148,0.679061664,"HERB","NLA 2017","cladocera"
"39","2010179","PLAINS","ZOCN","Calanoida",6.503230411,2.987871322,"HERB","NLA 2017","copepoda"
"40","2010179","PLAINS","ZOCN","Ceriodaphnia",0.033820653,0.135812333,"HERB","NLA 2017","cladocera"
"41","2010179","PLAINS","ZOCN","Cyclopoida",60.84064143,46.04038083,"UNK","NLA 2017","copepoda"
"42","2010179","PLAINS","ZOCN","Daphnia",3.862864006,0.679061664,"HERB","NLA 2017","cladocera"
"43","2010179","PLAINS","ZOCN","Diaphanosoma",0.027761929,0.135812333,"HERB","NLA 2017","cladocera"
"44","2010179","PLAINS","ZOCN","Leptodiaptomus sicilis",4.096873002,0.543249331,"HERB","NLA 2017","copepoda"
"45","2010179","PLAINS","ZOFN","Asplanchna brightwellii",792.2149921,279.2214322,"OMNI","NLA 2017","rotifera"
"46","2010179","PLAINS","ZOFN","Copepoda",11.52091158,279.2214322,"UNK","NLA 2017","copepoda"
